Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Clássico Zerbinatti,classico-zerbinatti,"<p>Nascido na primeira torra de Giuseppe Zerbinatti em 1897, este blend atravessou três gerações sem perder a alma. Equilíbrio entre doçura, corpo redondo e final persistente — o café que fez a reputação da casa e que você serve sem pensar duas vezes.</p>

<h3>Ficha de origem</h3>

<ul>
<li><strong>Origem:</strong> Valim Farms — Serra do Cabral, Minas Gerais</li>
<li><strong>Altitude:</strong> 900 a 1.100 m</li>
<li><strong>Variedade:</strong> Catuaí Vermelho + Mundo Novo</li>
<li><strong>Processo:</strong> Natural</li>
<li><strong>Torra:</strong> Média</li>
<li><strong>SCA:</strong> 84.75</li>
<li><strong>Safra:</strong> 2025</li>
</ul>

<p><strong>Notas sensoriais:</strong> chocolate ao leite, caramelo, nozes, final doce.</p>

<p><strong>Métodos recomendados:</strong> espresso, prensa francesa, moka, coado.</p>",Zerbinatti,Food Beverages & Tobacco > Beverages > Coffee,Café Especial,"classico, blend, minas-gerais, catuai, mundo-novo, natural, sca-84-75, valim-farms, herdeiro-1897",TRUE,active,ZRB-CLA-250-M,,Tamanho,250g,,Tipo,Moído,,,,,39.90,,,TRUE,,,,,,shopify,100,DENY,250,g,TRUE,manual,https://zerbinatti-coffee-259156177034.southamerica-east1.run.app/novo-layout/assets/pacote-zerbinatti-2026.webp,1,Pacote Clássico Zerbinatti — café especial brasileiro Valim Farms,https://zerbinatti-coffee-259156177034.southamerica-east1.run.app/novo-layout/assets/pacote-zerbinatti-2026.webp,FALSE,Clássico Zerbinatti — Café Especial Moído 250g,"Blend tradicional Zerbinatti desde 1897. Catuaí Vermelho + Mundo Novo das Valim Farms (MG). SCA 84.75. Notas de chocolate ao leite, caramelo e nozes.",,Food Beverages & Tobacco > Beverages > Coffee,,,ZRB-CLA-250-M,,,New,FALSE,,,,,
,classico-zerbinatti,,,,,,,,ZRB-CLA-500-G,,,500g,,,Em grãos,,,,,69.90,,,TRUE,,,,,,shopify,100,DENY,500,g,TRUE,manual,,,,https://zerbinatti-coffee-259156177034.southamerica-east1.run.app/novo-layout/assets/pacote-zerbinatti-2026.webp,,,,,,,,,,,,,,,,,
,classico-zerbinatti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://zerbinatti-coffee-259156177034.southamerica-east1.run.app/novo-layout/assets/galeria/4.webp,2,Linha 250g — do campo à mesa | Valim Farms,,,,,,,,,,,,,,,,,
,classico-zerbinatti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://zerbinatti-coffee-259156177034.southamerica-east1.run.app/novo-layout/assets/galeria/6.webp,3,Terreiro de secagem natural — Valim Farms,,,,,,,,,,,,,,,,,
